City,Population
Smooth Rock Falls,
Stonecliffe,
Val-David,1211
The Pas,6055
Evanston,
La Loche West,
Minnietakie,
Nachvak,
North River,
Park Head,
Parrsborough,
Pangnirtung,1320
Alexandria,
Causapscal,2033
Prince,
Cold Lake,
Fermeuse,
Kemptville,4229
Wildwood,
Paris,
Peninsula,
Boswarlos,
Daylesford,
Pukatawagan,
Tatamagouche,
Norwich,2651
Les Méchins,
Scarth,
Lutselk'e,
Barrett,
Portage La Prairie,
Port au Choix,
Attawapiskat,1366
Independent Harbour,
Meadow Lake,4281
Winfield,
Estuary,
Cheadle,
Port Renfrew,
Neepawa,3151
Ardrossan,
Grassy Plains,
Kinistino,
Bernard Harbour,
Annapolis,
Nanton,1936
Pointe du Bois,
Deloraine,1068
Hudson Heights,
Tweedie,
Saint Lawrence,
Gravenhurst,5839
Cottrells Cove,
Dominion Number Six,
Grimshaw,2560
Abrahams Cove,
Barnaby,
Fort Ross,
Gjoa Haven,
Larson,
Grindstone Island,
Manuan,
Netherhill,
Butedale,
Little River,
Maidstone,
Rupert House,
Sainte-Famille,
Saint-François,
Saint-Prosper-de-Dorchester,
Wallaceburg,10693
Payne Bay,
Tilbury,4858
Marieville,5600
Boharm,
Saint Francois,
Baker Lake,
Bonne Bay,
South Joggins,
Codroy Pond,
Dease Lake,
Hearts Delight,
Dequen,
Windsor,3864
Spiritwood,
Rivière-Pentecôte,
Sainte-Dorothée,
Saint Paul,
Sandy Lake,
Natashquan,
Pine Falls,
Fiske,
Hope,4598
Indian Pond,
West Hawk Lake,
Properity,
Irricana,1091
Simoom Sound,
Stettler,5494
Totzke,
Corner Brook,18693
Extension,
Dundalk,
Pascal,
Pincher Station,
Debden,
Mulgrave,
Newcastle Bridge,
Fresnoy,
Maryfield,
Saint James,
Smithers,5438
Takla Landing,
Saint Cyr Lake,
Baljennie,
Wakeham,
Kanata,93541
M'Clintock,
Simcoe,13446
Village-des-Aulnaies,
Niaqunnguut,
Hallboro,
Fredericksburg,
Sunnybrook,
Jersey Harbour,
Stouffville Junction,
Copper Creek,
Mazenod,
Nechacco,
Caslan,
Abbottsford,
Blackville,
Frenchman Butte,
Lansdowne House,
Cobble Hill,
Kincaid,
Moricetown,
Sainte-Claire,2565
Timiskaming Station,
Tracadie,
Craigend,
Sainte-Anne-de-Bellevue,
Saint Francis Xavier,
Talston River,
Webster,
South Lancaster,
West Dawson,
Westport,
Rock Creek,
Roy,
Comber,
Victoria Harbour,
White Brook,
Hillsborough,
Good Hope,
Tepee,
Quill Lake,
Saint Jean de Cherbourg,
Vauquelin,
Winfield,
Barnet,
Curling,
Dalmeny,1504
Durham Bridge,
Iron River,
Belcourt,
Clarenville,
Eskimo Point,
Milton,
Port Colborne,
Head Lake,
Pinantan,
Saint Felecian,
Kinnears Mills,
Kahwin,
Admiral,
Coppell,
Dayton,
English Harbour East,
Repulse Bay,
Snowdrift,
Surprise Valley,
Brazeau,
Saint-David-de-l'Auberiviere,
Hazeldean,
Lark Harbour,
Driftwood,
Weston,
Shipshaw Falls,
Fort McMurray,
L'Anse au Meadow,
Shillington,
Kipling Station,
Chaplin,
Angus,
Embarras Portage,
Dowling,
Tottenham,5101
Strathlorne,
Yorkston,
Weyburn,9362
Kinnaird,
Island Lake,
Dugwal,
Saint-Éloi,
Meaghers Grant,
Fenn,
Ramsey,
Disraeli,2678
Delson,
Knob Lake,
Lennoxville,
Macadam,
Saint-Honoré-de-Témiscouata,
Thunder Bay,99336
Wawa,3463
Dalhousie East,
Pocologan,
Wakefield,
Black Bear Bay,
Saint-Paul,
Lake Harbour,
Richer,
Saint Albans,
Egg Island,
Rutherglen,
Centreville,
Pincher,
Skead,
Fabreville,
Fishels,
Fontenelle,
Otter Lake,
Surprise,
Williams Lake,14168
Preeceville,1003
Sydenham,
Pagwa River,
Sainte-Marie,8735
La Guadeloupe,
Last Chance,
Longue-Pointe-de-Mingan,
Carruthers,
Lone Star,
Nitchequon,
Larry River,
Berthier-en-Bas,
Keswick,
Cobalt,
York Factory,
Debert Station,
Strathroy,13525
Harbour Buffett,
Ashville,
Sainte-Lucie-de-Doncaster,
Sainte-Marguerite,
Swastika,
Wallace,
Wanup,
Whitney,
Anteuil,
Louisbourg,1031
Lovett,
Clo-oose,
Downie,
Murdale,
Kings Point,
Lake Harbor,
Le Goff,
Mirabel,
Fort Hope,
Stewart Valley,
Caronport,972
Charlottetown,42403
Breton,
Calmar,2000
Brigus,
Fox Island Harbour,
Ayersville,
Brownvale,
Ogilvie,
Salvador,
Eyebrow,
Mistassini,
Acton,8204
Hampden,
Crozier,
Mallaig,
Mills Lake,
Petewahweh,
Port Weller,
Montréal-Est,
Roddickton,
Meanook,
York Mills,
Shawinigan Falls,
Mammawemattawa,
Kegaska,
Donkin,
Willow River,
Sainte-Anne-de-Chicoutimi,
Vancouver,1837970
Grates Cove,
Narcisse,
Waldeck,
York,
Mobile,
Harbour Main,
Fergus,17673
Spillimacheen,
Saint-Philippe-de-Laprairie,
Delburne,
Baie-Sainte-Claire,
Luskville,
Croydon Station,
Whelan,
Powassan,1243
Varennes,
Nelson,
Parksville,21150
Beaconia,
Carstairs,2370
Eugenia,
Grainger,
McLeod Lake,
Emerald,
Pitt Meadows,
Saint-Fidèle-de-Mont-Murray,
Saint Donat,
Inglewood Junction,
La Tuque,9503
Aldouane,
Ville Saint Pierre,
Pine River,
Beebe Plain,
Ennadai,
Princeton,
Mackenzie,4978
Chapleau,2991
Richmond,
Rock Island,
Wingard,
Economy,
Naisberry,
Pilot Mound,
Charny,
Lacolle,1528
Edgerton,
Saint-Denis-Rivière-Richelieu,
Edgington,
Calgary,968475
Dundas Harbour,
Polwarth,
Stouffville,
Harriston,2148
Amber Valley,
Bulyea,
Craig Harbour,
Newbrook,
Laflèche,
Chippawa,
McMunn,
Nigado,
Seventy Mile,
Mountain View,
Natashkwan,
Denholm,
Firvale,
Winter Harbour,
Granville Ferry,
Prescott,4466
Fox Harbour,
Blackwater,
Centralia,
Czar,
Zealandia,
Francois,
Irma,
Sqatteck,
Elliston,
Elphinstone,
Forestville,3570
Kincardine,6771
Chutine Landing,
Port Edward,
Frankville,
Port McNicoll,
Sainte-Agnès,
Horse Islands,
Namu,
Saint David,
Tofield,1911
Blaeberry,
Mount Pleasant,
Notre-Dame-du-Nord,
Pynns Brook,
Saint-Léon,
Sherbrooke,
Rosthern,
Weston,
Flower Cove,
Giffard,
Saint-Lazare,
Stephen,
Great Brehat Bay,
Harcus,
Kelliher,
Copper Mountain,
Grise Fiord,
Jeune Landing,
Taku,
Matheson,
Marina,
Maskinongé,1105
Stanstead Plain,
La Malbaie,4447
Grandora,
Albertville,
Cremona,
Waterloo,110800
Bauline,
Kenny,
Camlaren,
Drumheller,6557
Bell Rock,
Greenspond,
Mair,
Camsell Portage,
Saint-Augustin,3961
Snug Harbour,
Saint-Sylvestre,
Scapa,
Etzikom,
Caribou,
Finland,
Canyon City,
Emo,
Grand Bend,2059
Hilton Beach,
Fort James,
Montmartre,
Rapid City,
