City,Population
Yate,
Weston,
Stokenchurch,
Ramsgate,38624
Rhosneigr,
Selly Oak,
Drumgask,
Birling,
Dinas a Sir Caerdydd,
Samlesbury,
Norton Canon,
Thurstaston,
Tintwhistle,
Warbstow,
Little Munden,
Faygate,
Hayes,
Bradwell,
Brent,
Brynmenyn,
Chislehampton,
Llanafan-fawr,
Bettws,
Wyck Rissington,
Gretton,
Skigersta,
Smerby,
Stockbridge,
Dumfries,30656
Saltaire,
Machrihanish,
Fimber,
Forter,
Thurlestone,
Raholp,
Sicklinghall,
Marhamchurch,
Wath upon Dearne,
Hurworth,
Jerrettspass,
Kennington,
Little Strickland,
Springfields,
Arisaig,
Belfast County Borough,
Chagford,
Crawford,
Greenfield,
Frome Saint Quinton,
Cape Castle,
Upton Scudamore,
South Hanningfield,
Trumpington,
Salisbury and Wilton,
Scotton,
Shoreham,
Sneinton,
Rathmell,
Shirwell,
Saint Marys,
Tavistock,
Terreglestown,
Queniboro,
Duddington,
Broadwoodwidger,
Fain,
Farnsfield,
Coddenham,
Cross Hands,
Ingleborough,
Poulshot,
Saint Peters,
Ferry Port-on-Craig,
Halkin,
Middlesborough,
Castle Kennedy,
Cumwhinton,
Ousden,
Pishill,
Radcliffe,35638
Ramasaig,
New Luce,
Swaffham Bulbeck,
Saint Davids,
Aberdeen,183791
Cleckheaton,
District of North East Lincolnshire,
Ixworth Thorpe,
Brook,
Burniston,
Atherton,20149
Horbury,
Hurst Green,
Great Plumstead,
Kirk Ireton,
Letterewe,
Cushendall,
Mudford,
North Scarle,
Little Stukeley,
Feltham,
Lanchester,
Bathampton,
Breconshire,
Coln Saint Aldwyn,
Crank,
Ashtead,
Blymhill,
Quakers Yard,
Sandleheath,
Whitehouse,
Paston,
Tigharry,
Lockerbie,3986
Torver,
Westhide,
Wilmcote,
Wilnecote,
Blackbushes,
Funary House,
Badminton,
Craster,
Great Canfield,
Creech Saint Michael,
Durridge,
Charlton Mackrell,
Clibreck,
Llancynfelin,
Llansaintffraid,
Catthorpe,
East Woodhay,
Portmadoc,
Great Hale,
Horsepath,
Llanddoget,
Standish,
Bettws,
Tregarth,
West Stoke,
Cropredy,
Great Glen,
Clarencefield,
Pavenham,
Stickland Winterborne,
Tatterford,
Walmersley,
Bayford,
Abergynolwyn,
Bedburn,
Bentley,
Ayot Saint Peter,
Coulsdon,
Dalvey,
Highgate,
Irby upon Humber,
Kirkcowan,
Barton,
Catwick,
Colne,
Sherburn Hill,
Northlew,
Heighington,
Acton,
Ugthorpe,
Lowtherstown,
Burpham,
Harby,
West Tilbury,
Thomas Chapel,
