City,Population
Hümmelsberg,
Belgershain,
Bettenried,
Binsham,
Grünthal,
Kellinghusen,
Kirmesau,
Klein Fredenbeck,
Hopferwald,
Hanbach,
Hardhof,
Heidt,
Kasendorf,
Hofhainersdorf,
Köpenick,
Kottmannshausen,
Rengshausen,
Reuth unter Neuhaus,
Pannesheide,
Pautzsch,
Pfalzfeld,
Pfeisenham,
Plößberg,
Poley,
Pöppendorf,
Nassenheide,
Neuer Haidkrug,
Neundorf,
Racksen,
Mittellengenfeld,
Niederhof,
Niederluhe,
Nievelstein,
Münchshofen,
Mützingen,
Großdehsa,
Groß Flotow,
Dössel,
Dühren,
Neumarkt an der Rott,
Neu Zauche,
Niederwetz,
Nirm,
Lüttjeloog,
Oberndorf,
Mildstedt,
Müglenz,
Naunheim,
Oberfinningen,
Oberhochstadt,
Trautmannsried,
Ulperting,
Zettlitz,
Calberwisch,
An Neudörfel,
Hetzerath,
Kirschfurt,
Hückerkreuz,
Hallinghausen,
Angersbach,
Anten,
Bobeck,
Bliesenbach,
Bannewitz,
Lütgenholthausen,
Katharinenhof,
Gübs,
Hollenwisch,
Holzmarkt,
Leven,
Malchow,
Niederlößnitz,
Staupitz,
Ilfeld,
Jessen,
Kölburg,
Näthern,
Nemt,
Marloffstein,
Kleinerdlingen,
Landorf,
Leuzdorf,
Wegeberg,
Niederweiler,
Metebach,
Oberbrand,
Oberfecking,
Maschen,
Hammel,
Hartroda,
Hoven,
Haghof,
Bedburg,25224
Behweiler,
Bensen,
Himmelhartha,
Bandelstorf,
Bisdorf,
Hohenlieth,
Großzössen,
Germannsdorf,
Halsdorf,
Hohenbinde,
Stockau,
Stöffin,
Strickhausen,
Unterholzgünz,
Altenburg,
Amönau,
Lassan,
Morken,
Brand,
Erlabronn,
Nikolsdorf,
Deepen,
Bietenhausen,
Ruderitz,
Cottbus,115246
Debersdorf,
Fürholzen,
Wienöbst,
Holzhäusern,
Hettlingen,
Herbertshofen,
Herbrum,
Hinterdorf Menzenschwand,
Lehde,
Leopoldshagen,
Lichtenburg,
Kappel-Grafenhausen,
Kempfing,
Hirschfelde,
Waschow,
Groß Lengden,
Großnöbach,
Hallgarten,
Gerold,
Weste,
Wolperndorf,
Zaulsdorf,
Wiehl,26784
Theuern,
Verlar,
Bruchtorf,
Bunderhohehee,
Giengen,20211
Zeisdorf,
Niederhabscheid,
Kurl,
Langwedel,15200
Lund,
Maisental,
Königlich Reetz,
Mehlingerhof,
Siedlung Schwarzer Berg,
Warsow,
Freitelsdorf,
Deisendorf,
Schierschwende,
Schmardau,
Thalveldenz,
Todtenhausen,
Pölten,
Seebach,
Seiersdorf,
Otterbach,
Steinendorf,
Wenigerath,
Sensau,
Edelbeuren,
Stiftshof,
Weltenburg,
Westerham,
Vollstedt,
Unterschwaig,
Vennebeckerbruch,
Haldorf,
Harbecke,
Grünbichl,
Asendorf,
Dörnbach,
Duddenhausen,
Egen,
Obersteinhausen,
Ringsleben,
Pungelscheid,
Raddestorf,
Mondorf,
Mühlen-Schmidthausen,
Müschenbach,
Bruckdorf,
Millerscheid,
Kümperheide,
Lütjenbornholt,
Mailar,
Kleinsteinfeld,
Abbenseth,
Pattensen,13496
Muskau,
Relsberg,
Rohden,
Oberstenfeld,
Großenbrach,
Pfrimbt,
Marienrode,
Meinsberg-Neuhausen,
Balingen,34680
Daxenthal,
Egenbüttel,
Eichhain,
Börger,
Bernsdorf,
Brandis,
Buchensee,
Burbach,
Felden,
Egloffsteinerhütt,
Eltzerhöhe,
Erlmühle,
Erzgrube,
Fronhofen-Kautenbach,
Gahlenz,
Geldersheim,
Dabel Woland,
Diekenheide,
Fredersdorfer Fließ,
Drackenstedt,
Dresden-Neustadt,
Burgwalden,
Carlstorf,
Collinghorst,
Offenbach am Glan,
Mörschenhardt,
Marktgölitz,
Reichendorf,
Oberachern,
Hoyel,
Hütting,
Kaminshof,
Essel,
Exten,
Heiligenbruch,
Gronauerwald,
Grube Marga,
Guntersau,
Graflkofen,
Weidelbach,
Kinsau,
Lockwisch,
Ainling,
Bischdorf,
Buch,
Buchenhorst,
