City,Population
Oenerdijk,
Ooyerhoek,
Luitert,
Zorgvlied,
Voortje,
Rijksdorp,
Veenesluis,
Overbrug,
Azewijn,
Rinkveld,
Steenbergen,23793
Blaarthem,
Berkenwoude,
Koolwijk,
Adorp,
Tongeren,
Klinkenberg,
Kring van Dorth,
Kabauw,
Kolderveen,
Workum,
Vriescheloo,
Amsterdamsche Veld I,
Berghum,
Californië,
Trimpert,
Horsthoek,
Wieringerwerf,
Prinses Marianne,
Strijensas,
Ten Post,
Kallenkote,
Wijnbergen,
Steenharst,
Oele,
Kopstukken,
Losdorp,
Meddo,
Giesendam,
Nieuwendijk,
Vessem,
Vlachtwedde,
Westeremden,
Heenweg,
Wilsum,
Zandstraat,
Kadier en Keer,
Oolde,
Rheezerveen,
Nieuw Hellevoet,
Draaibrug,
Fraamklap,
Gratem,
Rukven,
Biezenkuilen,
Santa Clara,
De Molen,
Grieth,
's-Gravenhage,
Werven,
Noord Schalkwijk,
Rome,
Ham,
Andelst,
Smoutskerke,
Ankeveense Rade,
Weerestein,
Anna Jacoba,
Baarschot,
Bijlmer,
Goorke,
Kloosterburen,
Kornwerd,
Camperland,
Vierhuizen,
Roermond,46558
Gilheads,
Bogaard,
Wooldrik,
Opmeer,11755
Overhoven,
Het Loo,
Koudum,
East Flylân,
Oord,
Zaanstad,141800
Vrij,
West-Knollendam,
Hooge-Hexel,
Stroe,
Haag,
Haler,
Tweede Tol,
West-Graftdijk,
Holtland,
Vethuizen,
Kaumeshoek,
Oost Indië,
De Hoef,
Schans,
Scharwoude,
Beekkant,
Millert,
Terblijt,
Dieren,
Emmeloord,
Etten,
Abcoude,
Barwoudswaarder,
Oost-Knollendam,
Loenen,
De Elft,
De Hoef,
Het Goirke,
Boskoop,15469
Rijen,
Driehoek,
Pleegste,
De Heurne,
Dikkenberg,
Opperduit,
Muggenhool,
Heikop,
Hoog-Buurlo,
Minnertsga,
Klein-Delfgauw,
Sirjansland,
Biezenmortel,
Eibersburen,
Schadron,
Reimersbeek,
Urkhoven,
Wedderheide,
Soest-Zuid,
Jet,
Kokkelert,
Lebith,
Strijensche Sas,
Hoensbrock,
De Haar,
Woud,
Meerlo,
Jouwswier,
't Schoor,
Bijsteren,
Cillaarshoek,
Hert,
Oudenrijn,
Muggenbeet,
Eelderwolde,
Sellingerbeetse,
Molenberg,
Poeldonk,
Veldhoek,
Bonrepas,
Nijelemmer,
Idskenhuizen,
Van Ewijksluis,
Willebrordushoek,
Goessche Sas,
Achter-Weel,
Azenray,
Berg,
Klinge,
Marrum,
Sint Annaland,
Loenersloot,
Nieuwenhagen,
Den Emer,
Lobit,
Noorbeek,
Wijnjeterpverlaat,
Lollum,
Drouwenermond,
Moscou,
Noorddijk,
Zuurbeek,
Keizerslanden,
Redichem,
Halder,
Holtinge,
Vredeveld,
Saaksumhuizen,
Leegkerk,
Mariarade,
Meddeho,
Roskam,
Uithuizermeeden,
Viane,
Blesdijk,
Boudewijnskerke,
De Banjaard,
Kathoek,
Oudorp,
Armweide,
Kibbelveen,
Herfte,
Ter Heijde,
Blankenburg,
Stavenisse,
De Bente,
Eendragt,
Nieuwleusen,
De Pals,
Oostdijk,
Oud-Roosteren,
Hoogeveen,
Bronkhorst,
Dwingelo,
Beerten,
Herkeloo,
Fransegat,
Bijsterveld,
De Horst,
Smerp,
Mostheuvel,
Legemeer,
Purmerend,80807
Lith,
Eikenhoek,
Acht,
Schoon Velde,
Maarsbergen,
Vijlen,
Boornzwaag over de Wielen,
Opperburen,
Epe,33242
Giersbergen,
Noord Prins Alexanderpolder,
Graspeel,
Burum,
Demen,
Drouwen,
Halle,
Lier,
Batadorp,
Velzen,
Winssen,
Oostbeemster,
Surig,
Toven,
Ubach over Worms,
Orvelte,
Broekhoven,
Lippenhuizen,
Eijgelshoven,
Heveskesklooster,
Langstraat,
Baarle Bosschoven,
Bosserstraat,
Pendrecht,
Kornwerderzand Sluizen,
Verrenbest,
Elzet,
Schalsum,
Liesveld,9842
Concordia,
Borchwerf,
Menzel,
Schaik,
Rotstergaast,
Lieshout,
Ooi,
Lutten aan de Dedemsvaart,
Hansweerd,
Langen,
Leg,
Den Horn,
Nuenen,23755
Oosterheide,
Hazelaar,
Emmermeer,
Zandplaat,
Zoelen,
Knaphof,
Ooy,
Tregelaar,
Hakkelaarsbrug,
Halte,
Hof,
Hoorzik,
Everland,
Steenwijksmoer,
Ubachsberg,
Willemstad,
't Heem,
Giessen Nieuwkerk,
De Goorn,
Overheek,
Den Hool,
Lieveren,
Nijkerk,
Voskuilen,
Langendijk,
Ouderkerk aan den IJssel,
De Veenhoop,
Reeuwijk,12970
Muggenberg,
Venhuizen,
Hamdijk,
Hobreede,
't Haantje,
Passenrot,
Oldenklooster,
Ophuis,
Evertsoord,
Kimswerd,
Briltil,
Drouwenerveen,
Dijkerstraat,
De Maten,
Oost-Graftdijk,
Holwerd,
Langeschouw,
Aan de Popelaar,
Baarloo,
Bareveld,
Benoordenhout,
De Weere,
Dinxterveen,
Essen,
De Vaart,
Goejanverwelle,
Tilhgte,
Guda,
Bladel,19199
Hulzen,
Reedijk,
Nieuwe Biltzijl,
Ittersum,
Leusden-Centrum,
Boerhaar,
Nijnsel,
Sittard,
't Klooster,
Nijrsel,
Oosthuizen,
Poppe,
De Kolk,
Houthem-St. Gerlach,
Klein Haasdal,
Laag-Soeren,
Duizen Morgen,
Morige,
Noordijk,
Spinolaberg,
Ruigahuizen,
Goëngaryp,
Velden,
Fromberg,
Lieseind,
Mijnheerkens,
Nieuwegen,
Haspel,
Heikoop,
Hasjesstraat,
IJssellaan,
Keup,
Wadenoyen,
Wadway,
Westernieland,
Schandelo,
Ten Vorsel,
Wolferen,
Zwartbroek,
Oudelande,
Mijdrecht,
Rien,
Groot Meers,
Braambosch,
Woold,
Swichum,
Philipswijk,
Dieze West,
Hoeve,
Foxholsterbosch,
Slikkerveer,
Hees,
Donk,
Bazeldijk,
Beek,
Raamberg,
Westerland,
Warns,
Wheermolen,
Hertme,
Lidlum,
Haastrecht,
Nieuw-Heeten,
Pieterzijl,
Boerdonk,
Britsum,
Eisden,
Hedel,
Breezand,
Zeien,
Schinveld,
Plaatsluis,
Gelderswoude,
Toterfout,
Snakkeburen,
Vennen,
De Kampen,
Tempel,
Lippenwoude,
De Rand,
Genooi,
Driehuizen,
Korrewegwijk,
Groot Dochteren,
Holthuizen,
Beneden-Leeuwen,
Buiksloot,
Nigtevecht,
Dordt,
Rijsenhout,
San José,
Slennebroek,
Zandburen,
Lonneker,
Hooghout,
Euvelgunne,
Hondsberg,
Oud-Lutten,
Klimmen,
Eemnesbinnen,
Heveadorp,
De Huizen,
Sint Hubert,
Zinzelbeek,
Ropta,
Oosterbroek,
Nederhemert Zuidzijde,
Dijk,
Ter Idzart,
Itens,
Rijsberkampen,
Oudkarspel,
De Bildt,
Egbertsgaasten,
Hengstdijk,
Haven van Lelystad,
Weurt,
Teijeburen,
Twijzel,
Zandberg,
Group,
Banholt,
Emmaberg,
Oud-Bodegraven,
Perkpolder,
Geeuwenbrug,
Lichtenvoorde,19949
Delden,
Höfke,
In de Hoeven,
Klarebeek,
De Hem,
Bemmelskous,
De Muis,
Weerd,
Weibosch,
Botshoofd,
Libeek,
Uitwierda,
Ezinge,
Glind,
Flieren,
Laageind,
Platveld,
Haar,
Orten,
Hardenberg,58361
Brandemolen,
Sijbekarspel,
Tweede Dwarsdiep,
Oranjeoord,
Veld,
Vosseberg,
Wilhelminapark,
Schoordijk,
Schottershuizen,
Tjerkwerd,
Hogebieren,
Westermeer,
Berkhoek,
Marollenput,
Nieuwstadt,
Sint Philipsland,
Wildervank,
Horsthoekerveld,
Hulsdonk,
't Hof,
Oude Pekela,
Appeltern,
Huls,
Budel-Schoot,
Leihoek,
Lede-Oudewaard,
Derp,
Duurswoude,
Slotervaart,
Oud-Bergentheim,
Fluitenberg,
Gijzel,
Halfeind,
Keizersveer,
Koedijkslanden,
Leeuwte,
Zuid-Spierdijk,
Leerbroek,
Achterste Hermalen,
Achter-Thesinge,
Apenhuizen,
Nieuwersluis,
Linde,
Macharen,
Topweer,
Ter Borg,
Hem,
Jonkersland,
Oost-Vlieland,
Vinkeveen,
Loon op Zand,23408
Nichtevecht,
Bosje,
Ridderbuurt,
Heloren,
Rustenburg,
Chaam,
Evenheuvel,
Nergena,
Trent,
Oosselt,
Rolde,
Kapel-Avezaat,
Sprong,
Tijenraan,
Wolfswinkel,
Lensheuvel,
Luxterhoek,
Nederhemert-Zuid,
Vensterburen,
Vrieschelo,
Wernhoutsbrug,
Het Beijersche,
Het Hout,
Huins,
Buytenwegh de Leyens,
Capelle,66878
Oestgeest,
Huizem,
Langweer,
Mosbulten,
Zwaagdijk-Oost,
Keizershoek,
Ovezande,
Koudenburg,
Lage-Vuursche,
Tranendal,
De Bus,
De Hem,
Achterste Hees,
Luntershoek,
Minkeloos,
Schurega,
Weteringbrug,
Eldersloo,
Velsen-Zuid,
Wanrooy,
Bornwirdhuizen,
Eede,
Deelse Kampen,
Slangenburg IJzevoorde,
Drogt,
Elden,
Hardegarijp,
Tuindorp,
Schutwijk,
Bovenstreek,
Bueren,
IJzevoorde,
Rokanje,
Dongwier,
Beckum,
De Brabander,
Kattenberg,
Lange Hout,
Kluppelshuizen,
Tusschenklappen,
Velddijk,
Wessingen,
Zevenhuizen,
Putkop,
Maurik,
Hoog-Zutem,
Oud-Gastel,
Vrouwenakker,
Het Ven,
Hylaard,
Katwyk Aan Zee,
Keizerbosch,
Vierhuis,
Ballo,
Hurkske,
Leebrug,
Hoogmade,
Huinerbroek,
Westerend Harich,
Maarn,
Gracht,
Heerhugowaard,51004
Aalten,18856
Balgoij,
Muntendam,
Achthoven,
Hemelum,
Bovenste Huis,
Dort,
Hoofdplaat,
Klooster,
IJselmonde,
Scheldeoord,
Stegerveld,
Zalmplaat,
Bovensluis,
Vogelwijk,
Oude Leede,
Dijkwel,
Ellersinghuizen,
Ekamp,
Hunnecum,
Sauwerdermeden,
Sterenborg,
Oudemolen,
Noenes,
Grevenbicht,
Rugdijk,
Lithooien,
Oosterse Bos,
Goëngahuizen,
Harculo,
War,
Wedde,
Ool,
Booneschans,
Zwichum,
Middelburg,47307
Huizen,
Tjaard,
Midwolda,
Boeiink,
De Tippe,
Strijbeek,
Ilpendam,
Zandeind,
Lokstreek,
Buinerveen,
't Velleken,
Wijmers,
Terhei,
Mullum,
Sybrandaburen,
Offenbeek,
Waaxens,
Zuidbeierland,
Fons,
Mansion,
Terlet,
Oosterhoogebrug,
Roekebosch,
Tragel,
Baalder,
De Driehoek,
Kraan,
Steenpaal,
Kerckebosch,
Moerdijk,36518
's-Heer-Arendskerke,
Siberie,
Midsburen,
Boshoven-Vrakker,
De Helluw,
Eiberburen,
