City,Population
Rjaanes,
Veiholmen,
Jesseim,
Årnes,
Sandhåland,
Steinsdalen,
Rysestad,
Leirvågen,
Fosen,
Goks,
Toska,
Langset,
Moen i Målselv,
Røra,493
Skaga i Helgeland,
Heggheim,
Olestad,
Malle,
Skallelva,
Nordre Undal,
Rennan,
Rognan,2492
Svartskaret,
Toverud,
Hegmoen,
Hol,
Berger,1134
Krækkjebru,
Jåmmås,
Rud,
Slaatsveen,
Nygard,
Nytrøa,
Øyheim,
Grundförfjord,
Natås,
Repparfjordbotn,
Segard,
Tjørve,
Ulfsvaag,
Vivik,
Svenskerud,
Vadfoss,
Kjøpstad,
Haugset,
Hemnesbruket,
Hillstad,
Fjeldhaug,
Foldvik,
Kongsgaard,
Våg,
Måno,
Eidesland,
Hamna,
Ljosnes,
Sem,
Kjøde,
Ljosdal,
Gjeiten,
Hedno,
Finse,
Kallevaag,
Sundklakk,
Bergstøl,
Bellingmo,
Bø i Helgeland,
Akkerfjorden,
Kvalvågneset,
Senjehesten,
Ulvsvaag,
Vold,
Ål,
Brandsö,
By,
Örsiden,
Vassenden,246
Rong,
Holmøyane,
Navjorda,
Svalien,
Ullandhaug,
Vadbu,
Aaen,
Nos,
Sande i Vestfold,
Rikstad,
Rød,
Aa,
Yiggen,
Snik,
Stamnes,
Survik i Namdalen,
Bryggen,
Knappskog,1091
Daustad,
Kongsli,
Larsenga,
Løkken Verk,916
Luktvaslien,
Moi,1705
Ime,
Borgvær,
Aamot,
Kyrkjebø,
Kaafjordbotten,
Vasstrand,
Krokstad,
Aasen,
Bjørnestad,
Vigre,
Aakerviken,
Eggen,
Øysvoll,
Vallersneset,
Vatne,
Rossfjord,
Singesdal,
Kråkmoen,
Nævesdal,
Skotsætet,
Höivaag,
Tjernagel,
Vestbygda,1111
Saevelandsvik,
Ånnestad,
Bø,
Børve,
Morkastrand,
Nordhuglo,
Indre Matre,
Hamnvågnes,
Breidvoll,
Mjåland,
Aamli,
Avløysa,
Helle,
Giskolid,
Austbø,
Bremnes,
Abelsborg,
Anderskogen,
Brandal,308
Sjönnstaa,
Sønstebø,
Taarnet,
Tveit,
Søvik,
Steinestø,
Mo,
Hauga,
Haustland,
Hoffstad,
Kalavåg,
Aalbu,
Egedalen,
Ferkingstad,
Hatleim,
Skjelten,
Sluppen,
Harpefoss,453
Ytre Arna,2526
Leirvåg,
Løren,
Lövvik,
Haltdalen,
Hammerfest,6730
Hamneide,
Rise,
Engelstad,
Fallåsen,
Måsø,
Mysusæter,
Svalstog,
Selsverket,
Skjötskiftflaalten,
Atange,
Bolga,
Hov,
Grunnan,
Haugland,
Raaen,
Sponviken,
Vossevangen,5551
Vårdal,
Romsle,
Stol,
Sandum,
Stavdal,
Skaabu,
Kråkås,
Steia,
Balstad,
Vignæs Sør,
Østberg,
Åvedal,
Jössanger,
Krossli,
Kvisgard,
Sanddal,
Klauvnes,
Nerås,
Aamot,
Glæstad,
Lakselv,2167
Gammelheimen,
Vestby,
Småge,
Höiforsslet,
Eikeland,
Ørsta,6425
Selva,
Bæverfjord,
Grundfjord,
Grøttem,
Grutle,
Hestad,
Dombo,
Slaatvik,
Båsmo,
Bekkarfjord,
Skjæret,
Smedodden,
Stokmarknes,3135
Sunde,
Liastölan,
Trofors,797
Skiftesvik,
Barsnjargga,
Jendem,
Dalebroen,
Rena,2051
Skogsheim,
Strömtangen,
Onglavik,
Godviknes,
Høsbjør,
Skaalevig,
Nepstad,
Eimind,
Atterås,
Bomstad,
Vindaas,
Yndestad,
Bjørnstad,
Øyslebø,380
Guldhaug,
Låte,
Kleppe,
Kveberg,
Kvalvåg,258
Livoll,
Rusdal,
Skaarvik,
Ucceb Saltejawrak,
Hindset,
Hoggsegga,
Breidmoen,
Spanne,
Stranden,
Eigeland,
Aunet,
Drogset,
Aspaker,
Bø,
Brådland,
Hove,
Jerpvoll,
Klungtveit,
Bentsnes,
Eidsøra,
Vigeså,
Nes,
Rugg,
Store Vandve,
Veblungsnes,
Öislebö,
Kirkvolden,
Aursfjordgård,
Kyrkjebø,254
Løn,
Nosi,
Nummedal,
Nyplassen,
Søndre Storelv,
Steinnesvåg,
Storrød,
Tunhovd,
Tysso,
Rødvatn,
Røkke,
Langsjöaasen,
Leinan,
Gullhav,
Hankesund,
Edshaug,
Fleina,
Granåsen,
Nøttveit,
Buer,
Haugan,
Reianes,
Madla,
Botn,
Leirvik,
Langhamn,
Marvik,
Blikshamn,
Rekdalsheten,
Sundneset,
Vaulen,
Aglapsvik,
Høvringen,
Holdensæter,
Ospedalen,
Øyslena,
Fossum,
Luråsgrendi,
Nordfjord,
Overaasjoen,
Råstad,
Halsneset,
Medås,
Mykland,
Latnæringen,
Vadstensvik,
Indre Musken,
Igerøy,
Aaspenæs,
Hærnæs,
Øydnekilen,
Raaen,
Maroen,
Gjöljalien,
Haavold,
Hjelsenga,
Kjelmesö Vær,
Maura,2460
Rassdal,
Hanevik,
Svikebøl,
Mols,
Oltedal,719
Slinde,
Sortedal,
Vandvåg,
Isdalstø,
Rød,
Gjennestad,
Hovda,
