City,Population
Geylang Serai,
Toa Payoh,
Kampong Pengkalan Petai,
Ng Kay Boon Estate,
Kampong Ayer Gemuruh,
Kampong Silat Estate,
Kampong Loya,
Queenstown,
Kampong Amber,
Chip Hock Garden,
Queenstown Estate,
Kampong Sungai Blukar,
Kampong Padang Terbakar,
Tanglin Hill,
Fuyong Estate,
Tai Seng,
Island View Estate,
Leedon Park,
Ang Mo Kio Village,
Yio Chu Kang,
Kampong Kebun Baharu,
Chia Keng,
Kampong Bahru,
Kampong Tulloch,
Soo Chow Garden,
Lam Kiong Estate,
Pulau Minyak,
Singapore United Plantation,
Chong Pang,
Sommerville Estate,
Jurong West,
Peoples Garden,
Kilburn Estate,
Kampong Pengkalan Kundor,
Faber Hills,
Woodlands New Town,
Pulau Ubin,
Yow Toe,
Kaki Bukit Estate,
Kampong Java Teban,
Kangkar,
Kampong Kuchai,
Opera Estate,
Tanglin Halt,
Kampong Mandai Kechil,
Brizay Park,
Kampong Pasir Merah,
Tuas,
Kampong Seminei,
Tay Keng Loon Estate,
Kampong Todak,
Lokyang Village,
Holland Grove Park,
McMahon Park,
Sussex Estate,
York Hill Estate,
Kampong Mamam,
Padang Terbakar Village,
Bukit Timah,
Xilin Estate,
Sungei Simpang Village,
Pasir Panjang,
Woollerton Park,
Hai Sing Park,
Kampong Bereh,
Bedok,
Choa Chu Kang New Town,
Tuas Village,
Queenstown New Town,
Delta Estate,
Ama Keng,
Havelock Estate,
Kampong Darat Nanas,
Mount Vernon,
Aik Hong and Aik Chiang Estate,
Holland Village,
Kampong Malayu,
Kampong Sungi Pinang,
Marine Parade Estate,
Simei New Town,
Kampong Bugis,
Caldecott Hill Estate,
Kampong Chantek Baharu,
Keat Hong Village,
Eden Park,
Lam San,
Bajau Estate,
Bishan New Town,
Kampong Wak Hassan,
Kampong Sireh,
Kampong Sakeng,
Kampong Sungai Pandan,
Kampong Tengah,
Kampong Amoy Quee,
Yio Chu Kang Estate,
Shamrock Park,
Lucky Hills,
Teck Hock,
Kampong Ulu Pandan,
Kim Chuan,
Tai Hwan Gardens,
Pasir Ris,
Huat Choe Village,
Tai Kheng Gardens,
Kampong Sek Lim,
Hong Kong Park,
Outram Park,
Simpang Bedok,
Kampong Permatang,
Telok Blangah New Town,
Adam Park,
Kampong Wak Dulah,
Pandan Valley,
Kampong Loyang,
Hillcrest Park,
Sembawang Village,
Bukit Panjang New Town,
Ewart Park,
Jurong East New Town,
City West,
Song Hah Estate,
Serangoon,
Somapah,
Kampong Noordin,
Simei Estate,
Yew Tee Village,
Kampong Unam,
Kampong Lew Lian,
Kampong Pesek,
Jurong Town,
Bukit Timah Estate,
Sungai Simpang,
Kingsmead Hall,
Kampong O'Carroll Scott,
Kent Ridge,
Nee Soon,
Bukit Ho Swee Estate,
Kampong Reteh,
Bukit Mandai,
Ong Lee,
Rebecca Park,
Yishun New Town,
Bedok New Town,
Boon Lay Resettlement Area,
Kampong Wak Bechik,
Hume Heights,
Kimlin Park,
Lorong Tiga Estate,
Tyersall Park,
Mount Pleasant,
Kampong Telok,
Charlton Park,
Buona Vista,
Kam Wak Hassan,
Holland,
Mandai Road Village,
Kampong Pulau Ubin,
Ulu Bedok,
Kampong Ayer Bajau,
Happy Gardens,
Tiong Bahru Estate,
Ghim Moh,
Thong Hoe,
Kampong Perigi Piau,
Kalang,
Sembawang Estate,
Somapah Changi Village,
Alexandra,
Keat Hong,
Jalan Kayu,
Kampong Ulu Jurong,
Yan Kit Village,
Telok Blangah Estate,
Kampong Dulah,
Frankel Estate,
Tampines Estate,
Lokyang,
Punggol,
Kampong Serangoon Kechil,
Kampong Beremban,
Kian Teck San Estate,
Tumasik,
Kampong Sultan,
Bukit Sembawang Estate,
Bin Tong Park,
Kampong Pengkalan Pakau,
Sungai Mandai Village,
Sit Estate,
Kampong Ayer Merbau,
Tua Kang Lye,
Teck Chong Estate,
Bedok Garden,
Medway Park,
Kampong Belimbing,
Bedok Village,
Kampong Pasir Ris,
Kampong Potong Pasir,
Chinese Gardens,
Kampong Pasir,
Fish Farming Estate,
Kampong Soopoo,
Ban Guan Park,
Teck Hock Village,
Playfair Estate,
Teacher's Housing Estate,
Pasir Ris Village,
Bedok Ville,
Kampong Wak Tanjong,
Kranji,
Kampong Tebing Terjun,
Seletar Hills Estate,
Bulim Village,
Kampong Melayu,
Jurong East,
Tengah,
Thomson Park,
Kampong Sungai Belang,
Kampong Ubi,
Kampong Mak Baok,
Rochester Park,
Kampong Tanjong Penuru,
Kian Hong Estate,
Nee Soon Estate,
Somapah Changi,
Seminoi,
Kampong Cutforth,
Jurong West New Town,
Fernhill Gardens,
Mount Rosie,
Buona Vista Village,
Watten Park,
Clementi,
Kampong Tongkang Pechah,
Mount Emily Park,
Sarang Rimau,
Huat Choe,
Radin Mas,
Serangoon New Town,
Woodlands,
Kampong Che Jevah,
Raya Garden,
Jurong,
Ayer Rajah,
Watten Estate,
Punggol Village,
Somapah Serangoon,
Wessex Estate,
Gay World Park,
Sam Hin Estate,
Prince Edward Park,
Clementi New Town,
Kampong Sanyongkong,
Dragon View Park,
Singapore City,
Saga,
Changi,
Kampong Siren,
Ang Mo Kio New Town,
Kampong Kopit,
Yishun,
Boon Lay,
Thong Hoe Village,
Kampong San Teng,
Rose Garden,
Bright Hill Crescent,
Thomson Garden Estate,
Kampong Wing Loong,
Mata Ikan Village,
Kampong Bukit Panjang,
Changi Village,
Bukit Panjang Estate,
Kampong Tanah Merah Kechil,
Mayflower Estate,
Sembawang,
Dixil,
Kampong Tampines,
East View Garden,
Queen Astrid Park,
Hong Kah Village,
Kampong Salabin,
Tanjong Pagar,
Geylang Serai Village,
Kallang,
Kampong Kranji,
Bena Park,
Bukit Timah Village,
Kampong Sungai Tengah,
Bukit Batok New Town,
Mok Peng Hiang Estate,
Victoria Park,
Adelphi Park Estate,
Simei,
Pasir Panjang Village,
Bandar Baharu Jurong,
Henderson Estate,
Kampong Teban,
Ang Mo Kio,
Kampong Eunos,
Swiss Cottage Estate,
Brickworks Estate,
Kampong Radin Mas,
Toa Payoh New Town,
Woodleigh Park,
Kampong Changi,
Springleaf Park,
Banta Tengeh,
Tian Guan Estate,
Kampong Ladang,
Kampong Ayer Samak,
Tiong Guan Estate,
Lim Chu Kang,
Kampong Jelutong,
Dunearn Estate,
Kampong Tanjong Irau,
Phoenix Park,
Heap Guan,
Eden Hall,
Pulau Ubin Village,
Pasir Ris New Town,
Kampong Seraya,
Thomson,
Perseverance Estate,
Lokvang,
Thomson Ridge Estate,
Serangoon Garden Estate,
Bamboo Grove Park,
Sembawang Hills Estate,
Marsiling Estate,
Chai Chee Estate,
Camden Park,
Choa Chu Kang,
Chia Keng Village,
Kampong Harvey,
Kampong Wak Sekak,
Bukit Merah Estate,
Hong Kah,
Tampines,
Old Kallang Airport Estate,
Ong Lee Village,
Hun Yeang,
Bukit Panjang,
Chong Pang Village,
Kampong Pachitan,
Thomson Rise Estate,
Kampong Batu Koyok,
Sennett Estate,
Ardmore Flats,
Jurong Village,
Kampong Kitin,
Kampong Batak,
Yew Tee,
Faber Garden,
Kembangan,
Raffles Park,
Coronation Gardens,
Saga Village,
Oei Tiong Ham Park,
Kampong Saigon,
Nee Soon Village,
Eastern Gardens,
Heap Guan Village,
Kampong Ayer Samak Darat,
Tan Hua Gek Estate,
Seletar,
Quemoy Park,
Ulu Bedok Village,
Hun Yeang Village,
Kampong Sungai Jurong,
Punggol Estate,
Alexandra Estate,
Mata Ikan,
Caidecutt Hill Estate,
Marsiling,
Yio Chu Kang Village,
Bulim,
Clementi Housing Estate,
Bukit Mandai Village,
Kampong Pinang,
Chia Tong Quah Estate,
Kampong Punggol,
Kampong Wah Tuang,
Tanglin,
Kampong Pulau Kechil,
Serangoon Village,
Kampong Chai Chee,
Hougang New Town,
Princess Elizabeth Estate,
Kampong Jagoh,
Sungai Mandai,
Telok Blanga,
Kampong Hock Soon,
Havelock/Delta Estate,
Singapore,3547809
Ayer Raja New Town,
King Albert Park,
Siew Lim Park,
Sungai Unum Estate,
Kampong Baharu,
Ama Keng Village,
Windsor Park Estate,
Paya Lebar,
Prince Edward Point,
Saint Michael's Estate,
Race Course Village,
Mandai,
Maryland Estate,
Lim Chu Kang Estate,
Kampong Ayer Limau,
Kampong Tanah Merah,
Jurong New Town,
Lucky Park,
Kampong Blukang,
Braddell Heights Estate,
Kampong Sudong,
Kampong Pahang,
Kampong Sanyonkong Parit,
People's Park,
Tampines New Town,
Goldhill Gardens,
Sin Watt Estate,
Lam San Village,
Kampong Unum,
Nepal Park,
Matilda Estate,
Namazie Estate,
Sea View Estate,
Bukit Batok,
Thomson Village,
Spring Park Estate,
Yan Kit,
Kampong Kembangan,
West Coast Village,
Ah Soo Garden,
Tiong Baharu,
Sam Heng Estate,
Kampong Tanjong Penjuru,
Kampong Woodleigh,
Hong Leong Garden,
Chye Kay,
Simpang Bedok Village,
Eng Khong Gardens,
