City,Population
Pendás,
Somiedo,
Taco,
Paradela de Arriba,
Parcent,
Peñalosa,
Turleque,
Soutadoiro,
Albarrellos,
Caserío Sauceda,
Santacara,
Taranco,
Orga,
Pozoantiguo,
Puebla de Arganzón,
El Aljibe,
El Nido,
Estación de Purchena,
Figuerosa,
Fontellas,
Los Quiles,
Marigenta,
Mediavilla,
Guardiola de Berga,
Guimar,
Horna,
La Pared,
La Ribera Baja,
Las Nieves,
La Tejera,
Cortijo de Pera,
Cortijos de los Estévez,
Olivilla,
Fuente Caldera,
Gestoso,
Gorriti,
San Antonia Abad,
Vega de Arure,
Tapis,
Villanueva de Alcardete,
Pinol,
Caserío Fuente Nueva,
Casiellas,
Castillo de Villamaleja,
Aréns de Lledó,
Casas de La Prosperidad,
Ribasaltas,
Villabasta,
Caserío El Arrabal Torrelletas,
Gallipienzo,
Leijazós,
Cuesta de Piedra,
La Mata,
Las Orillas,
Corbacera,
Garranzo,
Santelices,
Los Pocicos,
Torroella de Mongri,
Rodiño-Pequeño,
Bilboa,
Pedregal,
Mallol,
San Mateo de Bages,
Becerreá,
El Puntal,
Los Romeros,
Loujedo,
Miravalles,
Lama,
Aguilar de la Frontera,13557
Borres,
Ostiz,
Valdeprado,
Liria,
Loedo,
Onón,
Romañá,
Tomellosa,
Quinteiros,
Rebolledo de la Torre,
Caserío Hornico,
Caserío Ríomalo de Abajo,
El Majal,
Muimenta,
Uribarri,
Almiruete,
Atarés,
Torquiendo,
Vivel,
Yetas,
Caserío Sol del Campo,
Santa Eulalia de Nembro,
Valderromán,
Puerto de la Peña,
Recelle,
Saúca,
Tenorio,
Tórdea,
Vadera-Baldía,
Caserío La Peña,
Cacheiras,
Aldeonte,
Sela de Vinjoy,
Santa Croya de Tera,
Velagómez,
Castellazo,
Cazalilla,
Maqueda,
Mombrió,
Guadapero,
Hermosa,
Lendequintana,
Cortijo del Corobunillo,
Ambreijo,
Bañoles,
Buetas,
Cabañas,
Cañamera,
Villareal,
Tabera de Abajo,
Unzué,
Valderrodrigo,
Zorraquín,
Bañuelos de Bureba,
Ager,
Alamedilla,
Alcorlo,
Calzada de Valdunciel,
Campillo de Arenas,
Arizgoiti,
Arjona,
Casas Albaida,
Algarmejo,
Buesa,
Cillán,
Cornazo,
Cortijada La Gorgaracha,
Gogull,
Touriñán,
Linzoáin,
Iglesuela del Cid,
La Secuita,
Casas de Montoya,
Corbero,
Barcia,
Bejarín,
Belarra,
Belvis de la Jara,
Agar,
Boaño,
Caseríos Los Villaesteres,
Caserío Vega de los Hatos,
El Almiñé,
Casa Olivar,
Carbajal,
Los Alagones,
Faquís,
Mentera-Barruelo,
Horticuela,
Jabarrillo,
Caserío Rambla del Marqués,
Cortijada Delgadillo,
Masnou,
Couzadoiro,
El Carril,
Las Ollerías,
Gadir,
Gallinero de Cameros,
Cortijo de Torralba,
Bandadas,
Acebeiros,
El Molinillo,
Mouroso,
Frajén,
La Infiesta,
La Pared,
San Julián,
Ventosa de la Sierra,
Arbeyales,
Caserío Valmanya,
Las Higueras,
Lleret,
Lumbreras,
Elorrio,
La Alberguería de Argañán,
Arenas,
Balones,
Barriada El Rascador,
Abarán,13850
Almuñécar,22157
Bordils,
Vergara,
Santoyo,
Redueña,
Tanarro,
Las Ermitas,
Llampayas,
Pedro Martín,
San Pantaleón de Aras,
Perdones,
Pina de Montolgrao,
Fadibán,
Mamolar,
Tordelrábano,
Torrelodones,17214
Tosca de Ana María,
Pantiñobre,
Casas Las Cañadas,
Caserío de Caurilla,
Caserio de San Carlos,
Caserío El Verduzal,
Caserío Jemingomez,
Caserío La Cabezuela,
Espino,
Esplegares,
Fontanillas de Castro,
Garrucho,
Abena,
Alberquería,
Aldea de San Esteban,
Bernardos,
Brués,
Caldas de Reves,
Calzadilla de Valmuza,
Convento de Orito,
Cortijada Las Paletas,
Cantalojas,
Capdella,
Jumilla,24476
Caserío Villar de Cuevas,
Peñella,
Vidaurreta,
Tesejerague,
Los Santos,
Itero de la Vega,
Villamediana de San Román,
Vilanova,
Olmedilla de Alarcón,
Palazuelo-Empalme,
Luaña,
Marmancón,
Las Cañadas,
Hoyuelos de la Sierra,
San Cosme de Barreiros,
Santervás de la Vega,
Jafra,
Laroá,
Miñambres,
Los Sapos,
Caserío Santo Domingo,
El Peñón,
Pardinilla,
Fumayor,
Villamartín de Don Sancho,
Caserío Pesqueruela,
Ferrán,
Cortijada Las Torres,
Peñafiel,
Pereira,
Pinillos,
El Madroño,
Forcinas,
Hútar,
Cosa,
Nagore,
Caserío Nin,
La Gudiña,
Las Bellostas,
Cornudilla,
La Aparecida,
Casas del Castañar,
Bustofrío,
Cardeñosa de Volpejera,
Montalbo en Cameros,
Prats de Llusanés,
El Pozuelo,
Marracín de Abajo,
Caudete,
Junquera,
Cabanude,
Caseríos La Boyal,
Andina,
Arnedo,
Laza,
Lillo,
Cartuja Baja,
Azadinos,
Barrio de las Casiñas Altas,
Sant Pau de Pinós,
Sas de Abajo,
San Bartolomé de Viodo,
Valle de la Valduerna,
Velilla del Río Carrión,
Torre Baja,
Villanueva de los Navos,
Villanueva de Río-Ubierna,
Portilla de Luna,
Regueras de Arriba,
Reolid,
Caserío La Boquera,
El Acebuchal,
El Frago,
Huerces,
Jordana,
Langa,
La Pedraja de Portillo,
La Portilla,
Gomecello,
Berzosa de los Hidalgos,
Soliedra,
Cey,
Formentera de Segura,
Castroverde,
Bellver,
Feleches,
Lugar de Abajo,
Naharros de Valdunciel,
Bousoño,
Miñera,
Caserío Los Juanetes,
Granátula,
Marracos,
Iznatoraf,
Caserío San Miguel,
Cerdeda,
Fortiá,
La Roca,
Figueroles,
Brihuega,
La Carrasquilla,
Salvador de Voltoya,
El Ronquillo,
Cenicientos,
Barco de Avila,
Casas Cortijo Grande,
Casas de los Aguadericos,
San Esteban de la Sierra,
Cortijo del Ovel,
Barbadillo del Pez,
Mármol,
Santiago de las Villas,
Podes,
Serantes,
Torremuña,
Villar de Omaña,
Rozuelo,
Olula,
Puente del Congosto,
Rebolledo de la Inera,
Riego de la Vega,
Talamanca,
Llamo,
Alquería Casasola del Campo,
Albeta,
Acalá del Río,
Algemesí,26222
Lucenza,
Vizcantar,
Almería,181497
Caliero,
Castellnou de Seana,
Castellnovo,
Comba,
Torrejoncillo del Rey,
Valdespino de Baca,
Vildé,
Sotiel Coronada,
Las Cabañas,
Estación de Pedro Martínez,
La Esperanza,
Louredo,
Maramuñiz,
La Mosquitera,
La Romera,
Las Albarizas,
La Torre,
Naraval,
Lindín,
Arboleas,
Ayuela,
Torrequebradilla,
Urbanización Feliu,
Monforte de la Sierra,
Morata de Jalón,
Caserío de Basconcillos,
Caserío Las Cañas,
Berdica,
Casares,
La Garriga,13006
La Mesa,
Sarreaus,
Almócita,
Almorox,
Arechavaleta,
Caserío Masada de Valredonda,
Castellar,
Castillo-Albaráñez,
Caulés,
Cervera,
Cardo,
Casas de Don Pedro,
Berroje,
Brañaseca,
Cieza,36545
Bacamorta,
Oliva de la Frontera,
Lorío,
Santamarina,
Serantes,
Villapena,
Casas de los Majadales,
Leaburu,
Zambra,
Zudaire,
Torre de Fuencubierta,
El Espelt,
Entrepeñas,
Las Agüeras,
Convento Ondo,
La Piedra,
Las Casitas,
Las Masucas,
Juyá,
Monte de los Santos,
Almuédano,
Luelmo,
Caserío Talayuelas,
La Higuera,
Casá de la Selva,
Brañavara,
Benifairó de Les Valls,
Cerreda,
Villacampa,
Allueva,
Villaoril,
Villafranca de Córdoba,
Casa Blanca,
Castro de Rey,
Airoá,
Caserío El Boquerón,
Alijo,
Peranera,
Magacela,
Caserío Pinillos,
Caserío Los Ochandos,
Los Teatinos,
Fuentecabalos,
Ventrosa,
Vilar de Cancelada,
Villarín,
Yosa,
Baterno,
Agüeras,
Briallos,
Santibáñez de Rueda,
Sevilla,686647
Sagra,
San Lorenzo Saball,
Soto de Dueñas,
Soto,
Villarta de San Juan,
El Sotillo,
Santillano de Campos,
Mougás,
Seco de Lucena,
Roo,
Naharros del Rio,
Odériz,
Pedernal,
Soña,
Sumbilla,
Valdehijaderos,
Vivente,
Rial de Abajo,
Los Chaulines,
Oza de los Ríos,
Santa Eulalia de Provenzana,
Plágaro,
Sauquillo de Cabezas,
Moslares de la Vega,
San Asesio los Cantos,
Caserío Castillo de Baños,
Bustillo de Cea,
Cortijada La Mulería,
Villarroya,
Subiránegas,
Surriba,
Yunquería de Henares,
Luyego,
Riba de Saelices,
San Pedro de Ribas,
Llusá,
Mazarulleque,
El Mirador,
Torneros de Jamuz,
Tranco,
Ullivarri-Arana,
Valdelubiel,
Vilademal,
Lena,13377
Los Díaz,
Orós Alto,
