City,Population
Mosshult,
Högsta,
Hvitberget,
Gransjölandet,
Gröndal,
Vägume,
Västermyckleäng,
Södra Nävesta,
Solberga,
Norrbo,
Kullabergstorp,
Hede,
Häggnäset,
Slätterna,
Nöttja,
Vallsjöbo,
Västra Skedebäckshult,
Södra Örsjö,
Tröingeberg,
Vadet,
Rälla,
Rödjebro,
Sunnanå,
Hummelviksbodarna,
Kolbergsgården,
Myttinge,
Floberget Fäbodar,
Karlshult,
Lillhagen,
Lövnäs,
Essvik,
Kvarnarp,
Lagerlund,
Grundsjön,
Gillberga,
Frönshult,
Degersnäs,
Näckenbäck,
Norra Johannisberg,
Norra Malmö,
Tandfors,
Överbo,
Påryd,
Telge,
Torsjö,
Holmvik,
Norra Sjöahult,
Asklanda,
Gösebo,
Bredträsk,
Björnrike,
Ebbared,
Högaholmen,
Näflinge,
Nain,
Lisskogsåsen,
Kråkviken,
Kullerbacken,
Västra Laisvall,
Vinnamåla,
Stora Sandviken,
Tormansbyn,
Unggärdet,
Stridsborg,
Getaskärv,
Götbrunna,
Slåsta,
Trättgärde,
Vråkärr,
Spöland,
Kirnujärvi,
Långhult,
Grinsbol,
Botorp,
Skuggebo,
Kylås,
Seldalen,
Djupsjö,
Hyllstofta,
Östra Göksvalla,
Övre Gärdsjö,
Nya Prästhyttan,
Sandbäck,
Räktjärv,
Skärmartorp,
Ursbo,
Gnarp,
Grånäs,
Hågnarp,
Fastorp,
Finnsundet,
Årby,
Åttersta,
Buggamåla,
Gruvbyn,
Borr,
Nedre Högstad,
Nöbbele,
Förby,
Ring,
Nedre Parakka,
Torrflonäs,
Trehörningstorp,
Rolsmo,
Rösa,
Sandberg,
Ruodusniemi,
Säby,
Sillegård,
Norum,
Österro,
Östra Furtan,
Anådalen,
Appelby,
Aspberget,
Flatebo,
Broby,
Brunna,
Döinge,
Drageryd,
Åheden,
Åkroken,
Enviken,
Lilla Håby,
Lindås,
Kopparhult,
Hörvik,
Hovby,
Östra Stugusjö,
Överlöpe,
Södra Veramåla,
Sandika,
Semla,
Ytterboda,
Västra Hungvik,
Sundvik,
Östanbäck,
Steg,
Prippebo,
Ulvsbo,
Tennsjö,
Tollsätter,
Nyadal,
Röttsla,
Hernösand,
Malingen,
Norra Lindberg,
Kummavuopio,
Gardikforsen,
Grebo,
Frostviken,
Högsäter,
Knaplet,
Karlskoga,26949
Tibbhult,
Sjömåla,
Skånstorp,
Skärvgöl,
Sandviken,
Bitterna,
Everlöv,
Fäbodtjäln,
Fagervik,
Fiskvik,
Byske,
Gersheden,
Abild,
Håf,
Degerbyn,
Borsnäs,
Älvkarleö,
Ängafallet,
Ävlingebo,
Villshärad,
Sjöbrånet,
Sjugare,
Södra Persby,
Spinkelnäs,
Stavsjö,
Storhaga,
Salnbergsbodarna,
Sandåkra,
Angarn,
Bäfvik,
Bagganäs,
Stråbergsmyren,
Manjaur,
Mäxarp,
Myra,
Låckeryd,
Hålan,
Hol,
Luckeboda,
Emmabo,
Grunkabo,
Bistocken,
Häljum,
Maltorp,
Stora Frösboholma,
Sävsås,
Överkålsta,
Skenabygget,
Skillingmark,
Peppanäs,
Stora Kopperud,
Rullbo,
Skogsborg,
Stalltjärnstugan,
Kinderåsen,
Lerberget,
Huveröd,
Murberget,
Öfverby,
Kaunisvara,
Nödjehult,
Hanviken,
Björkskär,
Borgvik,
Bäckamo,
Högen,
Höl,
Ludvika,13638
Ottervattnet,
Löpdal,
Ruskåsen,
Eriksberg,
Tisarbaden,
Ubbarp,
Uggleboda,
Sjörgrå,
Talojärvi,
Klåckåsen,
Udtja,
Stäfvarsby,
Sjöahult,
Ravelstorp,
Salsta,
Skästra,
Strandbacken,
Sundshult,
Mellan Skedebäckshult,
Nittqvarn,
Hösjöberg,
Fläsås,
Viskan,
Äspevik,
Galtskär,
Adelöv,
Åmberg,
Bodvallen,
Åträsk,
Långalma,
Lycket,
Hastaberget,
Gräftåvallen,
Grannäs,
Kittelsböle,
Forsbodarna,
Johannevik,
Klappsta,
Kuttaboda,
Säfvenäs,
Säivisnäs,
Sanna,
Trollås,
Högås,
Gåssjö,
Vermanshult,
Ånimskog,
Övre Bihagen,
Hornstäve,
Kammarbo,
Fåsjöhyttehäll,
Vahrendorff,
Kattleberg,
Marås,
Nedre Lid,
