City,Population
Basel,164474
Confignon,
Diessenhofen,
En la Gottaz,
Stettfurt,
Schonegg,
Hertenstein,
Ried,
Beinwil,
Kesswil,
Oberdorf,
Oenz,
Prato,
Hundwil,
Mittel Arni,
Campsut,
Escholzmatt,
Zinal,
Artaschiew,
Oberried,
Aristau,
Arth,10100
Balerna,
Sabbione,
Prolin,
Rothenthurm,
Waldenburg,
Konolfingen Dorf,
Aproz,
Combremont-le-Petit,
Eglisau,
Eysins,
Thayngen,
Neukirch,
Ried,
Zwingen,
Herbrigen,
Le Vichiesso,
Pramieisters,
Neuhaus,
Stalden,
Fornasette,
Sage,
Seeberg,
Cadro,
Zuzwil,
Gryon,
Birmenstorf,
Mittel-Muhen,
Neukirch bei Ilanz,
Ranft,
Zermeiggern,
Lotzwil,
Zermatt,5607
La Plaine,
Macolin,
Simplon Dorf,
Distel,
Doppleschwand,
Gorduno,
La Sarraz,
Agettes,
Tavannes,
Chavannes-le-Chene,
Mittal,
Ville d'Issert,
Alpe di Cortas,
Chants,
Hallwil,
Alp Vallatsch,
Buchs,10361
Mauensee,
Pra Combera,
Ligerz,
Begnins,
Ems,
Kleinhochstetten,
Versoix,11660
Hospenthal,
Mollens,
Kefikon,
Alpe di Trescolmen,
Batanja,
Baillaigues,
Bubikon,6160
Morissen,
Unterseen,5283
Wachseldorn,
Wauwil,
Couta,
Unterwasser,
Appenzell,5541
Champery,
Tschingeren,
Grandval,
Vrin,
Dompierre,
Fischenthal,
Bristen,
Donneloye,
Melchtal,
Schuders,
Staviala Vedra,
Berzona,
Sigirino,
Nyon,17071
Unteraegeri,
Valbella,
Hint Schweig,
Rotunda,
Schlattingen,
Vason,
Lieli,
Vicques,
Buttisholz,
Schluocht,
Gyrenbad,
Colombier,
Sulzthal,
Castiel,
Monti di Co,
Sils-Maria,
Oberhofen bei Etzgen,
Othmarsingen,
Termen,
Argseeli,
Feldbach,
Schonengrund,
Busswil,
Melera,
Nebikon,
Riehen,
Husen,
Gunt,
Mullheim,
Alberswil,
Berna,
Miglieglia,
Visletto,
Zum Loch,
Cortascio,
Echarlens,
Horgen,18055
Lostorf,
Schupfen,
Croce,
Tretsch,
Oberalp,
Nax,
Personico,
Unter dem Birg,
Wolfenschiessen,
Felsberg,
Stossen,
Hirschhorn,
Nesslau,
Krienz,
Cossonay,
Porrentruy,6453
Holderbank,
Engi,
Seedorf,
Gandria,
Cadenazzo,
Essertines-sur-Rolle,
Grossalpen,
Samedan,
Blauen,
Brienz,
Brissago,
Fahrni,
Schonenberg,
Vennes-sur-Lausanne,
Waldkirch,
Lichtensteig,
Littau,16403
Neumuhle,
Obererlinsbach,
Guttannen,
Sezegnin,
Bigenthal,
Bivio Stalla,
Aarau,15007
Monti Viff,
Lurtigen,
Lecherette,
Fiez,
Jeli,
Eischoll,
Ouchy,
Kandersteg,
Iserables,
Alpe Trescolmine,
Berisal,
Salvan,
Radons,
Castello San Pietro,
Tgantieni,
Erlenbach,
Ellikon am Rhein,
Undervelier,
Wengi,
Foroglio,
Le Chatelard-Montreux,
Marthalen,
Veytaux,
Busen,
Sankt Jakob,
Steffisburg,15396
Scona,
Seon,4556
Valendas,
Courfaivre,
Diesbach,
Riein,
Les Adanes,
Cauco,
Maschenboden,
Eschlikon-Dorf,
Dele,
Grodei,
Gebenstorf,
Les Garettes,
Elsigbach,
Teuffenthal,
Corbeyrier,
Obervaz,
Marstetten-Dorf,
Oberdorf,
Trubbach,
Goschenen,
Greifensee,5080
Hauterive,
Sainte-Croix,
Winkeln,
Jeuss,
Pery,
Schoneck,
Digg,
Iseltwald,
Panex,
Niedergampel,
Wuppenau,
Dompierre,
Arosa Bahnhof,
Visp,6560
Giornico,
Prieure,
Welschenrohr,
Casaccia,
Erschmatt,
Utendorf,
Cugnasco,
Oberdiessbach,
Spinas,
Kempttal,
Biberbrucke,
Borgnone,
Bronschhofen,
Le Vaud,
Mussen,
Biber,
Villars,
Waltensburg Dorf,
Saclens,
Scharmadlager,
Ependes,
Magdenau,
Morigen,
Vergeletto,
Rohr,
Schonbuhl,
Gravesano,
Gampel,
Bellwald,
Gorgier,
Tinizung,
Tortin,
Fideriseralp,
Arzo,
Cantine-de-Proz,
Egerkingen,
Renens,17530
Kehrsiten,
Les Pommerats,
Saxeten,
Norantola,
Alpe della Costa,
Basilea,
Ginevra,
Langenschachen,
Sorte,
Fiesso,
Zell,
Bavugls,
Lutisburg,
Romont,
Schiers,
Miliut,
Morgins,
Motiers,
Aesch,
Platta,
Gilly,
Tagliada,
Heimiswil,
Gruben,
Langental,
Arbas,
Dardagny,
Hinterrhein,
Airola,
Koniz,35961
Kloten,18141
Bale,
Compadials,
Wadenswil,19473
Saclentse,
Zeglingen,
Zollikon,12534
Hollerbiel,
Les Genevez,
Penthalaz,
Magden,
Worblaufen,
Stein,
Amriswil,11543
Geschinen,
Irgenhausen,
Neuenkirch,5683
La Chaux-sur-Breuleux,
Munchwilen,
Kemmeribodenbad,
Niederburen,
Montagnon,
Roschenz,
Villarsiviriaux,
Morges,13759
Neuchatel,31216
Villarsel-le-Gibloux,
Beznau,
Tavanasa,
Daillet,
Eutal,
Charrat,
Brigerbad,
Ober-Stammheim,
Saint Gallen,
Coire,
La Gouille,
Meggen,6593
Griosch,
Mase,
Mezieres,
Trimbach,6127
Couvet,
Finstermunz,
Mitholz,
Reconvilier,
Auw,
Brugg,
Feuerthalen,
Romainmotier,
Suracqua,
Unter-Basenheid,
Peney,
Lavey-les-Bains,
Schupbach,
Imfeld,
Bremgarten,6702
Taney,
Seebach,
Fideris Dorf,
Peiden Bad,
Pfaffensprung,
Gunten,
Hausen,
Wiedikon,
Frauenkirch,
Fankhaus,
Deitingen,
Perlen,
Altanca,
Schwendibad,
Wahlen,
Lyss,10892
Montreux,23703
Sempach,
Santa Maria,
Tenero,
Alpthal,
Lignieres,
Nessenthal,
Schonried,
Orpund,
Grono,
Sankt Margrethen,4995
Durrboden,
Saint-Imier,4701
Unter-Stammheim,
Gmeinalp,
Lommis,
Leutmerken,
Airlonia,
Genestrerio,
Feydey,
Kloster,
Evilard,
Oberrieden,
Oberruti,
Herblingen,
Stafa,13040
Alpe Hannig,
Corsier,
Siebnen,
Taverne,
Magliasina Chiesa,
Curaglia,
Binn,
Hombrechtikon,7795
Zumikon,5082
Platz,
Wettingen,18509
Gosgen,
Aion,
L'Abbaye,
Ciavasco,
Schachen,
Dutjen,
Kilchberg,6918
Mutzlenberg,
Roches,
Haslen,
Rudolfstetten,
Le Fays,
Meschino,
Birtschen,
Lanna,
Glattenberg,
Pitasch,
Seftigen,
Laret,
Filderich,
Sevgein,
Buholz,
Siviriez,
Verdasio,
Pfyn,
Sennhof,
Zumdorf,
Lachen,6879
Rossa,
Orello,
Zwischbergen,
Gurnigel,
Dudingen,7088
Hallau,
Riddes,
Kinzeralp,
Beatenbeig,
Villars-sur-Marly,
Cresciano,
Durrenroth,
Negrentino,
Oberegg,
Innertkirchen,
Weesen,
Bulach,14776
Buren,
Cra digl Lai,
Spiez,12310
Vitg Dado,
Gsteig,
Langnau,8731
Pfaffhusen,
Biborgo,
Clavadel,
Montana,
Oberwil,
Valzeina,
Fermelberg,
Kienholz,
Magglingen,
Beckenried,
Kappel,
Chambesy,
La Tour-de-Treme,
Wald,9016
Wohlen,9310
Niedersurrenen,
Baltschieder,
Gadmen,
Vauffelin,
Gyrenbad,
Langenthal,14533
Bolligen-Dorf,
Mannedorf,10164
Balm,
Gadmen,
Landiswil,
Malmigiur,
Ettiswil,
Aquila,
Sambuco,
Gersau,
Monti Pertiscio,
Alp Spinas,
Hurden,
Nieder Surenen Alm,
Lalden,
Sala,
Brontallo,
Rehetobel,
Fex-Crasta,
Iragna,
Valcava,
Mosnang,
Alpe de la Barma,
Cabbiola,
Sargans,4991
Thierachern,
Killwangen,
Saint-Sulpice,
Silvrettaegg,
Staldenried,
Uffikon,
Spiggengrund,
Lengnau,4302
S-chanf,
Bodio,
Riedstatt,
Lutschental,
Mathon,
Bulle,12460
Niederbuchsiten,
Schaftelen,
Sool,
Gafien,
Salmsach,
Kleinhuningen,
Oberschonenbuch,
Pusserein,
Chexbres,
Nascharegnas,
Scherzligen,
Entenmoos,
Tannen,
Pratteln,14861
Ausserglas,
Bettingen,
Lourtier,
Trins Dorf,
Kaiserstuhl,
Marmorera,
Brucke,
Chez-le-Bart,
Trans,
Arch,
Giswil,
Monte Laura,
Hochdorf,7793
Bassersdorf,9860
Beromunster,
Bremis,
Mompetavetsch,
Wasserauen,
Unter-Sohl,
Quartino,
Stafel,
Comologno,
Rufi,
Mustair,
Noirmont,
Mels,
Lutmerken,
Fulenbach,
Brusio,
Sankt Moritz-Dorf,
Monbiel,
Wieseneralp,
Mammern,
Zihlschlacht,
Fideriser Alp Duranna,
Chaumont-de-Pury,
Rodi,
Grodoey,
Laura,
Herisau,15444
Kunten,
Rothrist,7141
Melchnau,
Alpe di Crastera,
